"","SITENUM","avg_BFI"
"1",9379200,0.186392857142857
"2",9382000,0.347434343434343
"3",9383300,0.505107142857143
"4",9383400,0.574485714285714
"5",9383500,0.340611111111111
"6",9383550,0.333357142857143
"7",9384000,0.40030487804878
"8",9385000,0.487259259259259
"9",9385500,0.539333333333333
"10",9385700,0.4972
"11",9386030,0.371742857142857
"12",9386500,0.265615384615385
"13",9388000,0.22775
"14",9390000,0.5223
"15",9390500,0.359463768115942
"16",9392000,0.446714285714286
"17",9394000,0.188
"18",9394500,0.198573529411765
"19",9397000,0.182769230769231
"20",9397500,0.234459459459459
"21",9398000,0.278106382978723
"22",9398500,0.235813953488372
"23",9399000,0.246816326530612
"24",9400350,0.192529411764706
"25",9401000,0.196333333333333
"26",9401110,0.337
"27",9401260,0.237074074074074
"28",9401265,0.882
"29",9402000,0.189170212765957
"30",9402300,0.655315789473684
"31",9403000,0.734372549019608
"32",9403013,0.927
"33",9403850,0.433285714285714
"34",9404110,0.937538461538462
"35",9404115,0.93065
"36",9404208,0.637034482758621
"37",9404222,0.744695652173913
"38",9404343,0.285153846153846
"39",9413700,0.471708333333333
"40",9414900,0.665157894736842
"41",9415000,0.609
"42",9423650,0.371444444444444
"43",9424200,0.26675
"44",9424447,0.173333333333333
"45",9424450,0.30852
"46",9424900,0.194423076923077
"47",9425500,0.344826086956522
"48",9426000,0.4956125
"49",9426500,0.3458125
"50",9426620,0.573433333333333
"51",9426650,0.581472222222222
"52",9428500,0.71010294117647
"53",9428503,0.610818181818182
"54",9428505,0.174153846153846
"55",9428508,0.863085714285714
"56",9428510,0.705468085106383
"57",9429030,0.896209302325581
"58",9429060,0.854093023255814
"59",9429070,0.771538461538462
"60",9439000,0.447882352941176
"61",9442000,0.466
"62",9444200,0.433611111111111
"63",9444500,0.49898969072165
"64",9445000,0.619036363636364
"65",9445500,0.480238095238095
"66",9446000,0.486363636363636
"67",9447000,0.578474358974359
"68",9447800,0.585333333333333
"69",9448500,0.505737373737374
"70",9449500,0.442909090909091
"71",9451000,0.517814814814815
"72",9458200,0.423071428571429
