LONG,LAT
-111.9585466,35.061145459999999
-112.4126962,35.036792609999999
-111.7172789,35.057939800000000
-111.7235813,35.053555199999998
-111.7482615,34.972862990000003
-111.7504721,34.971081359999999
-112.3806131,34.976178890000000
-112.3563071,34.960872600000002
-111.9799624,34.993657769999999
-111.9901629,34.984833010000003
-112.0307944,34.943552369999999
-112.0301863,34.927988859999999
-112.0314102,34.926622799999997
-112.0480706,34.922106540000001
-111.6485997,34.933745950000002
-111.6530331,34.930507230000003
-112.2391639,34.914770099999998
-112.2313101,34.904296410000001
-112.2227397,34.903635979999997
-112.2113386,34.893519710000000
-112.2049334,34.896041699999998
-112.1277983,34.873080649999999
-112.1256508,34.872278659999999
-112.0910694,34.862130579999999
-112.2715405,34.914424760000003
-112.3096821,34.877233269999998
-112.3104712,34.875199799999997
-111.7720596,34.850007470000001
-111.8186742,34.814720379999997
-111.8660288,34.806008179999999
-112.0410134,34.800876750000000
-112.0428787,34.794054379999999
-111.9650221,34.692358919999997
-111.9521005,34.674038000000003
-111.9050829,34.703977469999998
-111.9186878,34.685218939999999
-111.8016775,34.682060440000001
-111.7925603,34.680593360000003
-111.8200827,34.658758089999999
-111.7931889,34.631209640000002
-111.8034812,34.624305540000002
-111.814775,34.623043889999998
-111.8243404,34.629463250000001
-111.8149291,34.635403969999999
-111.8269267,34.634038259999997
-111.8356317,34.607349190000001
-111.8446927,34.606759470000000
-111.8552462,34.587817559999998
-111.8544872,34.575284719999999
-111.8607532,34.573934989999998
