"","HUC8","mean_predictedBFI"
"1","14070006",0.619572134009842
"2","14070007",0.431478700183645
"3","14080105",0.578062180149749
"4","14080106",0.458204026923043
"5","14080201",0.48875221378732
"6","14080204",0.296344069342831
"7","14080205",0.425105005265726
"8","15010001",0.673030554511588
"9","15010002",0.802985282164052
"10","15010003",0.38607710194974
"11","15010004",0.845615971817218
"12","15010005",0.832249108690927
"13","15010006",0.817934007287873
"14","15010007",0.343431124305878
"15","15010009",0.333992438634539
"16","15010010",0.547233578835178
"17","15010014",0.60435824722956
"18","15020001",0.420440268645846
"19","15020002",0.380404239863413
"20","15020003",0.621963279803939
"21","15020004",0.717498163211728
"22","15020005",0.405369008659591
"23","15020006",0.494374993216494
"24","15020007",0.695498868252052
"25","15020008",0.198557323304764
"26","15020009",0.440642598862533
"27","15020010",0.239708468851301
"28","15020011",0.432450629612868
"29","15020012",0.562411879264564
"30","15020013",0.513180845168451
"31","15020014",0.744261226949218
"32","15020015",0.469595504467992
"33","15020016",0.268552199622611
"34","15020017",0.3442610688778
"35","15020018",0.679864699888037
"36","15030101",0.437661607120306
"37","15030103",0.37082971653766
"38","15030104",0.706340665704247
"39","15030105",0.668392258274838
"40","15030106",0.68993541359258
"41","15030107",0.45157517268284
"42","15030108",0.553136892101735
"43","15030201",0.306044358664736
"44","15030202",0.230925559657597
"45","15030203",0.262555116500385
"46","15030204",0.599588593855366
"47","15040002",0.423271414620096
"48","15040003",0.849079659165445
"49","15040004",0.466998871542433
"50","15040005",0.519019766634716
"51","15040006",0.503179492046512
"52","15040007",0.314841969360476
"53","15050100",0.544443354175263
"54","15050201",0.43770334268176
"55","15050202",0.283083200523575
"56","15050203",0.353520545727647
"57","15050301",0.379398213841452
"58","15050302",0.272665214473331
"59","15050303",0.366291920370856
"60","15050304",0.350812535563214
"61","15050305",0.347713244020019
"62","15050306",0.386723540330354
"63","15060101",0.462492204140733
"64","15060102",0.568350836346806
"65","15060103",0.443022463986407
"66","15060104",0.408926058131514
"67","15060105",0.350814974728309
"68","15060106",0.489077191375805
"69","15060201",0.33806753257297
"70","15060202",0.446066953266636
"71","15060203",0.446757637994375
"72","15070101",0.396696082369906
"73","15070102",0.301428247870584
"74","15070103",0.313138528896072
"75","15070104",0.495646236236824
"76","15070201",0.49943387929802
"77","15070202",0.544163597786121
"78","15070203",0.503755100855466
"79","15080101",0.478971992746907
"80","15080102",0.388889726208616
"81","15080103",0.426777060297984
"82","15080200",0.374978390788851
"83","15080301",0.44632563462411
"84","15080302",0.491737613137118
