KEY,LAT,LONG,BFI,BFI_log,HUC8,YEAR,PRECIP_MM,TEMP_C,AREA_KM2,SLOPE_DEGREES,ELEVATION_FT,ET_MM,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT,Predicted_BFI,Recharge_mm
9512800_1994,34.01558948,-112.1679378,0.389,-0.451517616,15070102,1994,345.66,18.6357,7115.792,9.0052,1801.672,375.7187,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.28,0
9512800_1995,34.01558948,-112.1679378,0.17,-1.585627264,15070102,1995,392.51,18.9319,7115.792,9.0052,1801.672,383.3372,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.152,1.3942656
9512501_1943,34.3153073,-112.0640455,0.226,-1.231036874,15070102,1943,334.12,18.605,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.224,0
9512495_1955,34.31502955,-112.0648788,0.571,0.285932291,15070102,1955,365.83,17.0795,7115.792,9.0052,3468.438,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.351,0
9512495_1956,34.31502955,-112.0648788,0.627,0.519368121,15070102,1956,151.85,17.9899,7115.792,9.0052,3468.438,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.416,0
9512500_2019,34.3153073,-112.0640455,0.18,-1.516347489,15070102,2019,501.17,18.4101,7115.792,9.0052,3482.317,514.1503,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.23,0
9512495_1954,34.31502955,-112.0648788,0.375,-0.510825624,15070102,1954,343.17,18.4873,7115.792,9.0052,3468.438,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.356,0
9512800_1986,34.01558948,-112.1679378,0.252,-1.08797389,15070102,1986,365.41,18.5734,7115.792,9.0052,1801.672,422.6962,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.229,0
9512500_2022,34.3153073,-112.0640455,0.327,-0.721785159,15070102,2022,309.1,19.4033,7115.792,9.0052,3482.317,318.17,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.198,0
9512501_1941,34.3153073,-112.0640455,0.155,-1.69591151,15070102,1941,625.98,16.8859,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.17,42.220503
9512501_1942,34.3153073,-112.0640455,0.425,-0.302280872,15070102,1942,237.89,17.6015,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.286,0
9512500_1944,34.3153073,-112.0640455,0.185,-1.482832288,15070102,1944,377.65,17.0621,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.179,0.0046361
9512501_1944,34.3153073,-112.0640455,0.221,-1.259848344,15070102,1944,377.65,17.0621,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.177,0.0045843
9512501_1945,34.3153073,-112.0640455,0.233,-1.191448348,15070102,1945,304.05,17.2554,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.238,0
9512501_1946,34.3153073,-112.0640455,0.262,-1.035599321,15070102,1946,377.06,17.6578,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.187,0
9512501_1947,34.3153073,-112.0640455,0.307,-0.814182252,15070102,1947,237.26,17.8494,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.281,0
9512501_1948,34.3153073,-112.0640455,0.166,-1.614245614,15070102,1948,255.67,17.4533,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.214,0
9512501_1949,34.3153073,-112.0640455,0.151,-1.726779349,15070102,1949,368.68,17.1129,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.224,0
9512501_1950,34.3153073,-112.0640455,0.231,-1.202673259,15070102,1950,194.17,18.4991,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.249,0
9512500_2020,34.3153073,-112.0640455,0.115,-2.040655517,15070102,2020,214.79,19.8999,7115.792,9.0052,3482.317,281.592,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.239,0
9512500_2021,34.3153073,-112.0640455,0.143,-1.790593288,15070102,2021,373.59,19.6246,7115.792,9.0052,3482.317,478.7204,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.116,0
9512500_1941,34.3153073,-112.0640455,0.153,-1.711262773,15070102,1941,625.98,16.8859,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.172,42.7172148
9512500_1942,34.3153073,-112.0640455,0.368,-0.540806456,15070102,1942,237.89,17.6015,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.288,0
9512800_2006,34.01558948,-112.1679378,0.169,-1.59273108,15070102,2006,212.79,19.0679,7115.792,9.0052,1801.672,280.1955,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484,0.295,0
