HUC8,SITENUM,YEAR,LAT,LONG,BFI,PRECIP_MM,TEMP_C,AREA_KM2,SLOPE_DEGREES,ELEVATION_FT,ET_MM,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
15070102,9512800,1994,34.01558948,-112.1679378,0.389,345.66,18.6357,7115.792,9.0052,1801.672,375.7187,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512800,1995,34.01558948,-112.1679378,0.17,392.51,18.9319,7115.792,9.0052,1801.672,383.3372,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512501,1943,34.3153073,-112.0640455,0.226,334.12,18.605,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512495,1955,34.31502955,-112.0648788,0.571,365.83,17.0795,7115.792,9.0052,3468.438,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512495,1956,34.31502955,-112.0648788,0.627,151.85,17.9899,7115.792,9.0052,3468.438,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,2019,34.3153073,-112.0640455,0.18,501.17,18.4101,7115.792,9.0052,3482.317,514.1503,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512495,1954,34.31502955,-112.0648788,0.375,343.17,18.4873,7115.792,9.0052,3468.438,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512800,1986,34.01558948,-112.1679378,0.252,365.41,18.5734,7115.792,9.0052,1801.672,422.6962,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,2022,34.3153073,-112.0640455,0.327,309.1,19.4033,7115.792,9.0052,3482.317,318.17,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512501,1941,34.3153073,-112.0640455,0.155,625.98,16.8859,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512501,1942,34.3153073,-112.0640455,0.425,237.89,17.6015,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,1944,34.3153073,-112.0640455,0.185,377.65,17.0621,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
