LONG,LAT
-110.7804781,32.978601279999999
-110.7564561,32.948477320000002
-110.7685028,32.971094930000000
-110.7432538,32.937108940000002
-110.7445695,32.941424740000002
-110.568469,32.898734789999999
-110.5920612,32.871463380000002
-110.60121,32.858109839999997
-110.6157885,32.846604190000001
-110.6315198,32.845008749999998
-110.7279183,32.913558250000001
-110.3456879,32.849421000000000
-110.4145307,32.894031269999999
-110.7258573,32.870773870000001
-110.3169833,32.815368800000002
-110.3320147,32.832768889999997
-110.3445624,32.846191830000002
-110.7139274,32.838097230000002
-110.5050802,32.549303420000001
-110.5069557,32.556324070000002
-110.5069661,32.556376280000002
-110.6252655,32.696453409999997
-110.6458205,32.740092230000002
-110.6552265,32.745930289999997
-110.6892372,32.806663200000003
-110.7018751,32.821128039999998
-110.7032274,32.823709119999997
-110.2338941,32.748198080000002
-110.2775653,32.785141600000003
-110.1924184,32.685628209999997
-110.4883932,32.478404439999998
-110.4854899,32.490928830000001
-110.4894471,32.502005529999998
-110.4949774,32.520355410000001
-110.4594429,32.428865000000002
-110.4612899,32.428984110000002
-110.4868158,32.415499230000002
-110.4502551,32.382946670000003
-110.4622114,32.392480100000000
-110.4692858,32.405687839999999
-110.4434314,32.381372509999998
-110.4359833,32.362327870000001
-110.340004,32.324005180000000
-110.3436239,32.322318480000000
-110.3709299,32.297389840000001
-110.3326827,32.234308300000002
-110.3484144,32.260923699999999
-110.3683404,32.283558370000002
-110.3807293,32.277717250000002
-110.4120624,32.198895860000000
