HUC8,YEAR,mean_recharge
14070006,1991,0
14070006,1992,17.72162788
14070006,1993,16.78401527
14070006,1994,0
14070006,1995,0.561435607
14070006,1996,0
14070006,1997,10.21503354
14070006,1998,2.013039994
14070006,1999,0
14070006,2000,3.641782612
14070006,2001,0
14070006,2002,0
14070006,2003,0
14070006,2004,3.75015786
14070006,2005,22.99054545
14070006,2006,37.06052723
14070006,2007,14.05649101
14070006,2008,6.340795426
14070006,2009,5.44480096
14070006,2010,2.357590718
14070006,2011,1.260066541
14070006,2012,0
14070006,2013,14.06031439
14070006,2014,0
14070006,2015,10.73444532
14070006,2016,9.33325368
14070006,2017,19.61049094
14070006,2018,0
14070006,2019,12.22699209
14070006,2020,0
14070007,1991,0
14070007,1992,33.93192816
14070007,1993,58.07733018
14070007,1994,0
14070007,1995,0.340623611
14070007,1996,0
14070007,1997,0
14070007,1998,0
14070007,1999,0
14070007,2000,13.67282779
14070007,2001,0
14070007,2002,0
14070007,2003,0
14070007,2004,31.10094884
14070007,2005,32.3787982
14070007,2006,29.89513508
14070007,2007,3.644325206
14070007,2008,18.63361938
14070007,2009,14.16647109
14070007,2010,35.59845092
14070007,2011,0
14070007,2012,0
14070007,2013,6.51112692
14070007,2014,0
14070007,2015,0.167912757
14070007,2016,13.12565318
14070007,2017,0
14070007,2018,10.16311009
14070007,2019,30.52284727
14070007,2020,0
14080105,1991,25.86338643
14080105,1992,18.39487191
14080105,1993,39.68097069
14080105,1994,8.218526595
14080105,1995,28.43553252
14080105,1996,22.27108907
14080105,1997,6.094286946
14080105,1998,16.89354385
14080105,1999,0
14080105,2000,0
14080105,2001,0
14080105,2002,0
14080105,2003,1.953729032
14080105,2004,0
14080105,2005,15.35294625
14080105,2006,24.94750596
14080105,2007,52.69056099
14080105,2008,20.83926113
14080105,2009,0
14080105,2010,19.16143853
14080105,2011,0
14080105,2012,0.793402336
14080105,2013,0
14080105,2014,0
14080105,2015,0
14080105,2016,6.329746557
14080105,2017,0
14080105,2018,0
14080105,2019,27.73766442
14080105,2020,0
14080106,1991,217.7554209
14080106,1992,94.82192483
14080106,1993,181.7597586
14080106,1994,64.69952773
14080106,1995,122.5536691
14080106,1996,108.2053219
14080106,1997,74.77790033
14080106,1998,111.3424453
14080106,1999,8.007004218
14080106,2000,24.54200551
14080106,2001,46.71043129
14080106,2002,16.96874062
14080106,2003,68.06004817
14080106,2004,48.42598286
14080106,2005,100.2445341
14080106,2006,105.3221485
14080106,2007,180.3329024
14080106,2008,145.031871
14080106,2009,75.74539485
14080106,2010,151.16356
14080106,2011,52.49048563
14080106,2012,44.28119228
14080106,2013,30.81761198
14080106,2014,11.44594271
14080106,2015,51.90953476
14080106,2016,37.5470766
14080106,2017,52.86539267
14080106,2018,12.37363065
14080106,2019,150.1329227
14080106,2020,3.300913697
14080201,1991,1.282664009
14080201,1992,7.895302168
14080201,1993,19.78982602
14080201,1994,0
14080201,1995,8.204376996
14080201,1996,1.984118173
14080201,1997,0
14080201,1998,0
14080201,1999,0
14080201,2000,0
14080201,2001,0
14080201,2002,0
14080201,2003,0
14080201,2004,0
14080201,2005,0
14080201,2006,9.181022595
14080201,2007,28.13474836
14080201,2008,0
14080201,2009,0
14080201,2010,0
14080201,2011,0
14080201,2012,0
14080201,2013,0
14080201,2014,0
14080201,2015,6.242011004
14080201,2016,6.782144081
14080201,2017,0
14080201,2018,0
14080201,2019,10.31430438
14080201,2020,1.632640328
14080204,1991,12.55210771
14080204,1992,0
14080204,1993,8.04898457
14080204,1994,0
14080204,1995,5.618530054
14080204,1996,0
14080204,1997,0.517591734
14080204,1998,2.062031376
14080204,1999,0
14080204,2000,0
14080204,2001,0
14080204,2002,0
14080204,2003,0
14080204,2004,0
14080204,2005,5.091542854
14080204,2006,7.011031539
14080204,2007,16.04526304
14080204,2008,0.271477738
14080204,2009,0
14080204,2010,0.251658506
14080204,2011,0
14080204,2012,0
14080204,2013,0
14080204,2014,0
14080204,2015,2.18527118
14080204,2016,2.571027231
14080204,2017,2.224608491
14080204,2018,0
14080204,2019,1.76557014
14080204,2020,0
14080205,1991,8.447221431
14080205,1992,1.689465462
14080205,1993,19.09912243
14080205,1994,0
14080205,1995,4.48521922
14080205,1996,0
14080205,1997,0
14080205,1998,0
14080205,1999,0
14080205,2000,0
14080205,2001,0
14080205,2002,0
14080205,2003,0
14080205,2004,0
14080205,2005,18.17854074
14080205,2006,23.37039412
